HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,STATE_ID,LATITUDE,LONGITUDE,FIPS2010,PLACEFP,N_UNITS,LI_UNITS,N_0BR,N_1BR,N_2BR,N_3BR,N_4BR,YR_PIS,YR_ALLOC,TYPE,NON_PROF,BASIS,BOND,FMHA_515,CREDIT,HOME,CDBG,FHA,HOPEVI,HOME_AMT,CDBG_AMT,HPVI_AMT,RENTASSIST,TRGT_POP,NONPROG,ALLOCAMT,INC_CEIL,LOW_CEIL,CEILUNIT,N_UNITSR,LI_UNITR,
"TNA00000008","CUMBERLAND POINTE APTS","2400 BUENA VISTA PIKE","NASHVILLE",TN,"37218","TN1012-1261",36.199924468994,-86.82510375976,012801,52006,200,,,,,,,8888,2013,,,,,,,,,,,,,,,,,,,,,200,200,
"TNA00000011","HICKORY LAKE APTS","3940 APACHE TRAIL","ANTIOCH",TN,"37013","TN1012-1295",36.067260742187,-86.69102478027,019108,52006,322,,,,,,,8888,2013,,,,,,,,,,,,,,,,,,,,,322,322,
"TNA00000023","SEVEN HUNDRED FIVE WOODLAND","705 WOODLAND ST","NASHVILLE",TN,"37206","TN1012-1283",36.173809051513,-86.76006317138,019200,52006,60,,,,,,,8888,2011,,,,,,,,,,,,,,,,,,,,,60,60,
"TNA0000X003","LEVY PLACE","303 FOSTER ST.","NASHVILLE",TN,"37207","TN-15-095",36.179004669189,-86.76743316650,011800,52006,226,226,0,7,106,104,9,9999,2015,2,,2,,2,,2,2,2,2,0,0,0,,2,,0,9,,0,226,226,
"TNA0000X005","THE PADDOCK AT GRANDVIEW","230 W. TRINITY LANE","NASHVILLE",TN,"37207","TN-16-202",36.206516265869,-86.77900695800,012702,52006,240,240,0,24,108,108,0,2017,9999,1,,2,,2,,2,2,2,2,0,0,0,,2,,0,9,,0,240,240,
"TNA19870020","117 W TRINITY LN","117 W TRINITY LN","NASHVILLE",TN,"37207","TN87-031",36.206188201904,-86.77044677734,011001,52006,1,1,0,0,1,0,0,1987,1987,2,2,2,2,2,3,,,,,,,,,,1,,,,,1,1,
"TNA19870090","FIFTH AVE SFD","1631 FIFTH AVE N","NASHVILLE",TN,"37208","TN-87-029",36.181713104248,-86.79241943359,019400,52006,,2,,,,,,1987,1987,2,,2,2,2,,2,2,2,2,0,0,0,,2,1,2070,,,,2,2,
"TNA19870800","FIFTH STREET SFD","1102 N FIFTH ST","NASHVILLE",TN,"37207","TN-87-056",36.190666198730,-86.76261138916,011800,52006,1,1,0,0,0,1,0,1987,1987,2,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,495,,,,1,1,
"TNA19870805","209 A&B PRINCE AVE","209A PRINCE AVE","NASHVILLE",TN,"37207","TN-87-038",36.20654296875,-86.76416778564,011300,52006,2,2,0,0,2,0,0,1987,1987,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,4115,,,,2,2,
"TNA19870806","909 C&D THOMAS AVE","909C THOMAS AVE","NASHVILLE",TN,"37216","TN-87-037",36.205265045166,-86.74011230468,011200,52006,2,2,0,0,2,0,0,1987,1987,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,4386,,,,2,2,
"TNA19870807","THOMAS A","909A THOMAS AVE","NASHVILLE",TN,"37216","TN-87-036",36.205265045166,-86.74011230468,011200,52006,2,2,0,0,2,0,0,1987,1987,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,4397,,,,2,2,
"TNA19870811","11TH S ST DUPLEX","406 S 11TH ST","NASHVILLE",TN,"37206","TN-87-009",36.171859741210,-86.75086975097,019200,52006,2,2,0,0,1,0,1,1987,1987,2,2,2,2,2,3,2,2,2,2,0,0,0,,2,1,1059,,,,2,2,
"TNA19880025","TRI-COUNTY DUPLEX","1324 PENNOCK AVE","NASHVILLE",TN,"37207","TN-88-032",36.194507598877,-86.76570892333,011300,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6840,,,,2,2,
"TNA19880065","AVONDALE SFD","1218 AVONDALE CIR","NASHVILLE",TN,"37207","TN-88-107",36.208683013916,-86.78171539306,012701,52006,2,1,0,0,0,2,0,1988,1988,3,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,3821,,,,2,1,
"TNA19880075","MERIDIAN APT","1332 MERIDIAN ST","NASHVILLE",TN,"37207","TN-88-117",36.196350097656,-86.76727294921,011300,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8136,,,,2,2,
"TNA19880080","TRI COUNTY DUPLEX","1322 PENNOCK AVE","NASHVILLE",TN,"37207","TN-88-031",36.194595336914,-86.76569366455,011300,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6840,,,,2,2,
"TNA19880105","14TH AVE N DUPLEX","1509 14TH AVE N","NASHVILLE",TN,"37208","TN-88-109",36.174533843994,-86.80344390869,013900,52006,2,2,0,1,1,0,0,1988,1988,2,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,2692,,,,2,2,
"TNA19880110","22ND AVE N DUPLEX","1510 22ND AVE N","NASHVILLE",TN,"37208","TN-88-108",36.172702789306,-86.81137084960,013800,52006,2,2,0,1,1,0,0,1988,1988,2,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,2152,,,,2,2,
"TNA19880130","5TH AVE N DUPLEX","1615 FIFTH AVE N","NASHVILLE",TN,"37208","TN-88-027",36.181034088134,-86.79198455810,019400,52006,1,2,0,0,1,0,0,1988,1988,2,1,2,2,2,3,2,2,2,2,0,0,0,,2,1,2160,,,,2,2,
"TNA19880135","SOUTHSIDE II","1625 14TH AVE N","NASHVILLE",TN,"37208","TN-88-083",36.177062988281,-86.80558776855,013900,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6619,,,,2,2,
"TNA19880150","SOUTHSIDE I","1702 KASSIA ST","NASHVILLE",TN,"37207","TN-88-078",36.201610565185,-86.78447723388,012702,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6764,,,,2,2,
"TNA19880155","SOUTHSIDE II - NUBELL ST","1717 NUBELL ST","NASHVILLE",TN,"37208","TN-88-085",36.188430786132,-86.81294250488,013700,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6837,,,,2,2,
"TNA19880160","SOUTHSIDE I","1726 17TH AVE N","NASHVILLE",TN,"37208","TN-88-075",36.178707122802,-86.80983734130,013900,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6718,,,,2,2,
"TNA19880165","SOUTHSIDE I","1727 SEIFRIED ST","NASHVILLE",TN,"37208","TN-88-076",36.181980133056,-86.81361389160,013700,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6809,,,,2,2,
"TNA19880170","SOUTHSIDE I","1745 24TH AVE N","NASHVILLE",TN,"37208","TN-88-080",36.179355621337,-86.81592559814,013800,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6800,,,,2,2,
"TNA19880180","SOUTHSIDE I","1912 15TH AVE N","NASHVILLE",TN,"37208","TN-88-081",36.182445526123,-86.80954742431,013700,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6731,,,,2,2,
"TNA19880185","CEPHAS SFD","1912 CEPHAS ST","NASHVILLE",TN,"37208","TN-88-106",36.181762695312,-86.80601501464,013700,52006,1,1,0,0,0,1,0,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,4050,,,,1,1,
"TNA19880200","SOUTHSIDE II - BERRY ST","218 BERRY ST","NASHVILLE",TN,"37207","TN-88-072",36.181106567382,-86.77009582519,012600,52006,1,1,0,0,1,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,3325,,,,1,1,
"TNA19880205","BERRY ST APTS (NASHVILLE)","220 BERRY ST","NASHVILLE",TN,"37207","TN-88-120",36.181400299072,-86.76972961425,012600,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8136,,,,2,2,
"TNA19880215","SOUTHSIDE I","2230 15TH AVE N","NASHVILLE",TN,"37208","TN-88-079",36.188434600830,-86.81182098388,013700,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6690,,,,2,2,
"TNA19880225","BUCHANAN DUPLEX","2311 BUCHANAN ST","NASHVILLE",TN,"37208","TN-88-099",36.180057525634,-86.81468200683,013800,52006,2,2,0,0,1,1,0,1988,1988,2,1,2,2,2,3,2,2,2,2,0,0,0,,2,1,2448,,,,2,2,
"TNA19880230","THOMAS FOUR-PLEX","2315 SEIFRIED ST","NASHVILLE",TN,"37208","TN-88-017",36.182441711425,-86.81553649902,013700,52006,4,4,0,0,0,4,0,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,13770,,,,4,4,
"TNA19880235","23RD AVE N DUPLEX","1414 23RD AVE N","NASHVILLE",TN,"37208","TN-88-023",36.171897888183,-86.81246185302,013800,52006,2,2,,,,,,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,7380,,,,2,2,
"TNA19880240","23RD AVE N DUPLEX","1412 23RD AVE N","NASHVILLE",TN,"37208","TN-88-022",36.171730041503,-86.81242370605,013800,52006,2,2,0,0,0,2,0,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,7380,,,,2,2,
"TNA19880245","1410 23RD AVE N","1410 23RD AVE N","NASHVILLE",TN,"37208","TN88-024",36.171569824218,-86.81239318847,013800,52006,2,2,0,0,0,2,0,1988,1988,1,2,2,2,2,3,,,,,,,,,,1,,,,,2,2,
"TNA19880250","23RD AVE N DUPLEX","1408 23RD AVE N","NASHVILLE",TN,"37208","TN-88-020",36.171413421630,-86.81236267089,013800,52006,2,2,0,0,0,2,0,1988,1988,1,2,2,2,2,2,,,,,,,,,,1,,,,,2,2,
"TNA19880260","14TH AVE N DUPLEX","2418 14TH AVE N","NASHVILLE",TN,"37208","TN-88-018",36.191589355468,-86.81074523925,013700,52006,2,2,0,0,0,2,0,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,7494,,,,2,2,
"TNA19880265","SOUTHSIDE II - GEORGIA AVE","2833 GEORGIA AVE","NASHVILLE",TN,"37209","TN-88-084",36.157028198242,-86.82082366943,014300,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6612,,,,2,2,
"TNA19880275","DURBIN DUPLEX","323 33RD AVE N","NASHVILLE",TN,"37209","TN-88-131",36.151504516601,-86.82386016845,013500,52006,2,2,0,0,0,2,0,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,7296,,,,2,2,
"TNA19880300","PARK AVE DUPLEX","3523 PARK AVE","NASHVILLE",TN,"37209","TN-88-132",36.151496887207,-86.82740020751,013500,52006,2,2,0,0,0,2,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,7296,,,,2,2,
"TNA19880310","PARK AVENUE HOUSE","3706 PARK AVE","NASHVILLE",TN,"37209","TN-88-134",36.151790618896,-86.82856750488,013500,52006,2,2,0,0,0,2,0,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,7296,,,,2,2,
"TNA19880315","3708 PARK AVE DUPLEX","3708 PARK AVE","NASHVILLE",TN,"37209","TN-88-138",36.151782989502,-86.82875823974,013500,52006,2,2,0,0,0,2,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,730,,,,2,2,
"TNA19880335","BRANTLEY DUPLEX","410 37TH AVE N","NASHVILLE",TN,"37209","TN-88-135",36.153743743896,-86.82864379882,013500,52006,2,2,0,0,0,2,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,7296,,,,2,2,
"TNA19880390","SOUTHSIDE II - YOKLEY DR","530 YOKLEY DR","NASHVILLE",TN,"37207","TN-88-074",36.212760925293,-86.79128265380,012701,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6855,,,,2,2,
"TNA19880405","NORTH 2ND ST APT","619 N SECOND ST","NASHVILLE",TN,"37207","TN-88-116",36.182163238525,-86.77132415771,012600,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8136,,,,2,2,
"TNA19880455","NORTH 2ND ST APT","908 N SECOND ST","NASHVILLE",TN,"37207","TN-88-118",36.188083648681,-86.77098846435,012600,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8136,,,,2,2,
"TNA19880495","CHARLIE PLACE DUPLEXES","828 CHARLIE PL","NASHVILLE",TN,"37207","TN-88-147",36.223842620849,-86.81728363037,012701,52006,7,7,0,0,0,7,0,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,25620,,,,7,7,
"TNA19880816","DAKOTA DUPLEX","3607 DAKOTA AVE","NASHVILLE",TN,"37209","TN-88-141",36.148551940918,-86.82733154296,013500,52006,2,2,0,0,0,2,0,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,7296,,,,2,2,
"TNA19880817","PARK AVE DUPLEX","3702 PARK AVE","NASHVILLE",TN,"37209","TN-88-137",36.151798248291,-86.82825469970,013500,52006,2,2,0,0,0,2,0,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,7300,,,,2,2,
"TNA19880818","WESTFALL DUPLEX","414 37TH AVE N","NASHVILLE",TN,"37209","TN-88-136",36.153781890869,-86.82864379882,013500,52006,2,2,0,0,0,2,0,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,7296,,,,2,2,
"TNA19880821","RESHA APT","3204 RESHA LN","NASHVILLE",TN,"37218","TN-88-119",36.195285797119,-86.83119201660,012801,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8136,,,,2,2,
"TNA19880822","35TH AVE APT","411 35TH AVE N","NASHVILLE",TN,"37209","TN-88-115",36.153762817382,-86.82688903808,013500,52006,4,4,0,0,4,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,16272,,,,4,4,
"TNA19880825","22ND AVE N SFD","1512 22ND AVE N","NASHVILLE",TN,"37208","TN-88-110",36.172740936279,-86.81137847900,013800,52006,1,1,0,0,0,1,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,4286,,,,1,1,
"TNA19880826","SHELBY APTS","113 SHELBY AVE","NASHVILLE",TN,"37213","TN-88-095",36.165523529052,-86.76749420166,019300,52006,4,4,0,4,0,0,0,1988,1988,2,2,2,2,2,3,2,2,2,2,0,0,0,,2,1,3003,,,,4,4,
"TNA19880827","DENNIS APTS","429 DENNIS DR","NASHVILLE",TN,"37207","TN-88-091",36.212230682373,-86.77774047851,012701,52006,4,4,0,0,4,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,16272,,,,4,4,
"TNA19880828","SOUTHSIDE I","3535 BROOKWAY DR","NASHVILLE",TN,"37207","TN-88-088",36.254863739013,-86.77445983886,010903,52006,63,15,0,0,0,63,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,68048,,,,63,15,
"TNA19880829","926 N 6TH ST","926 N 6TH ST","NASHVILLE",TN,"37207","TN-88-087",36.1880369,-86.763867,019500,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6718,,,,2,2,
"TNA19880830","SOUTHSIDE II","711 S 11TH ST","NASHVILLE",TN,"37206","TN-88-086",36.166942596435,-86.75109100341,019200,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6718,,,,2,2,
"TNA19880831","SOUTHSIDE II","2210 24TH AVE N","NASHVILLE",TN,"37208","TN-88-082",36.188507080078,-86.81526184082,013700,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6718,,,,2,2,
"TNA19880832","SOUTHSIDE I","139 ELMHURST AVE","NASHVILLE",TN,"37207","TN-88-077",36.197257995605,-86.77316284179,011300,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6720,,,,2,2,
"TNA19880833","SOUTHSIDE I","409 REVELS DR","NASHVILLE",TN,"37207","TN-88-073",36.222648620605,-86.80206298828,012701,52006,2,2,0,0,2,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,6763,,,,2,2,
"TNA19880835","SOUTHSIDE I","304 BELLSHIRE TER CT","NASHVILLE",TN,"37207","TN-88-070",36.256916046142,-86.76700592041,010903,52006,6,5,0,0,0,6,0,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,26891,,,,6,5,
"TNA19880836","SOUTHSIDE II","126 FERN AVE","NASHVILLE",TN,"37207","TN-88-069",36.196720123291,-86.78131103515,012702,52006,10,10,0,0,10,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,33722,,,,10,10,
"TNA19880837","SOUTHSIDE","3310 FELICIA ST","NASHVILLE",TN,"37209","TN-88-068",36.153968811035,-86.82451629638,013500,52006,6,6,0,0,6,0,0,1988,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,20738,,,,6,6,
"TNA19880847","23RD AVE N DUPLEX","1408 23RD AVE N","NASHVILLE",TN,"37208","TN-88-021",36.171413421630,-86.81236267089,013800,52006,2,2,0,0,0,2,0,1988,1988,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,7380,,,,2,2,
"TNA19880848","14TH AVE N DUPLEX","2420 14TH AVE N","NASHVILLE",TN,"37208","TN-88-019",36.191623687744,-86.81074523925,013700,52006,,2,,,,,,1988,1988,1,,2,2,2,,2,2,2,2,0,0,0,,2,1,7494,,,,2,2,
"TNA19890010","LITTON APTS","1120 LITTON AVE","NASHVILLE",TN,"37216","TN-89-022",36.202220916748,-86.73876953125,011400,52006,162,162,0,48,114,0,0,1989,1988,2,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,295199,,,,162,162,
"TNA19890035","WOODLAND ST SFD","1311 WOODLAND ST","NASHVILLE",TN,"37206","TN-89-026",36.176956176757,-86.74626922607,019200,52006,1,1,0,0,0,1,0,1989,1989,2,2,2,2,2,3,2,2,2,2,0,0,0,,2,1,2649,,,,1,1,
"TNA19890085","SOUTHSIDE III","1704 WESTCHESTER DR","NASHVILLE",TN,"37207","TN-89-094",36.254707336425,-86.77140045166,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,9167,,,,2,2,
"TNA19890090","SOUTHSIDE III","1705 WESTCHESTER DR","NASHVILLE",TN,"37207","TN-89-095",36.254467010498,-86.77112579345,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,9167,,,,2,2,
"TNA19890095","SOUTHSIDE III","1708 WESTCHESTER DR","NASHVILLE",TN,"37207","TN-89-093",36.254634857177,-86.77149963378,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,9177,,,,2,2,
"TNA19890105","SOUTHSIDE III","1712 WESTCHESTER DR","NASHVILLE",TN,"37207","TN-89-092",36.254562377929,-86.77159118652,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,9167,,,,2,2,
"TNA19890215","SOUTHSIDE III","3304 BROOKDALE DR","NASHVILLE",TN,"37207","TN-89-091",36.254096984863,-86.77190399169,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,9167,,,,2,2,
"TNA19890220","SOUTHSIDE III","3305 BROOKDALE DR","NASHVILLE",TN,"37207","TN-89-088",36.254039764404,-86.77230072021,010903,52006,2,2,0,0,0,2,0,1989,1989,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,9167,,,,2,2,
"TNA19890235","3323 PARK AVE DUPLEX","3323 PARK AVE","NASHVILLE",TN,"37209","TN-89-121",36.151554107666,-86.82438659667,013500,52006,2,2,0,0,0,2,0,1989,1989,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,7582,,,,2,2,
"TNA19890240","SOUTHSIDE III","3417 MEADOW CT","NASHVILLE",TN,"37207","TN-89-086",36.253730773925,-86.77325439453,010903,52006,2,2,0,0,0,2,0,1989,1989,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,9167,,,,2,2,
"TNA19890245","SOUTHSIDE III","3421 MEADOW CT","NASHVILLE",TN,"37207","TN-89-087",36.253768920898,-86.77326202392,010903,52006,2,2,0,0,0,2,0,1989,1989,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,9167,,,,2,2,
"TNA19890305","BELL DUPLEX","3511 PARK AVE","NASHVILLE",TN,"37209","TN-89-120",36.151500701904,-86.82714080810,013500,52006,2,2,0,0,0,2,0,1989,1989,1,2,2,2,2,2,2,2,2,2,0,0,0,,2,1,7760,,,,2,2,
"TNA19890345","HOOSER PROPERTIES","1507 WOODLAND ST","NASHVILLE",TN,"37206","TN-89-112",36.177169799804,-86.74345397949,012100,52006,1,1,0,0,0,1,0,1989,1989,2,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,1628,,,,1,1,
"TNA19890380","REGENCY APTS","2706 GLENROSE AVE","NASHVILLE",TN,"37210","TN-89-109",36.115253448486,-86.72079467773,017401,52006,108,108,0,22,86,0,0,1989,1987,2,1,2,2,2,3,2,2,2,2,0,0,0,,2,1,87280,,,,108,108,
"TNA19890405","SOUTHSIDE III","3415 MEADOW CT","NASHVILLE",TN,"37207","TN-89-085",36.253711700439,-86.77325439453,010903,52006,2,2,0,0,0,2,0,1989,1989,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,9167,,,,2,2,
"TNA19890807","CAHAL DUPLEX","1513 CAHAL AVE","NASHVILLE",TN,"37206","TN-89-146",36.196258544921,-86.73643493652,011400,52006,2,2,0,1,0,1,0,1989,1989,2,2,2,2,2,3,2,2,2,2,0,0,0,,2,1,,,,,2,2,
"TNA19890817","SOUTHSIDE","1911 WESTCHESTER DR","NASHVILLE",TN,"37207","TN-89-107",36.253295898437,-86.77422332763,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8821,,,,2,2,
"TNA19890818","SOUTHSIDE IV","1907 WESTCHESTER DR","NASHVILLE",TN,"37207","TN-89-106",36.253173828125,-86.77480316162,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8821,,,,2,2,
"TNA19890819","SOUTHSIDE IV","1903 WESTCHESTER DR","NASHVILLE",TN,"37207","TN-89-105",36.252971649169,-86.77423858642,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8821,,,,2,2,
"TNA19890820","SOUTHSIDE IV","1829 WESTCHESTER DR","NASHVILLE",TN,"37207","TN-89-104",36.253295898437,-86.77330017089,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8821,,,,2,2,
"TNA19890821","SOUTHSIDE IV","1815 WESTCHESTER DR","NASHVILLE",TN,"37207","TN-89-103",36.253448486328,-86.77294158935,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8821,,,,2,2,
"TNA19890822","SOUTHSIDE IV","1811 WESTCHESTER DR","NASHVILLE",TN,"37207","TN-89-102",36.253631591796,-86.77252960205,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8821,,,,2,2,
"TNA19890823","SOUTHSIDE IV","1807 WESTCHESTER DR","NASHVILLE",TN,"37207","TN-89-101",36.253940582275,-86.77267456054,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8821,,,,2,2,
"TNA19890824","SOUTHSIDE IV","1801 WESTCHESTER DR","NASHVILLE",TN,"37207","TN-89-100",36.253860473632,-86.77200317382,010903,52006,2,2,0,0,0,2,0,1989,1988,1,1,2,2,2,2,2,2,2,2,0,0,0,,2,1,8821,,,,2,2,
